file,seed,n,max_lag,inject_echo,echo_every,stat,tail_mean_acf,p_value
result\cstar\20250907-131529.json,0,6000,300,False,250,-0.000329145,0.000590015,0.59
result\cstar\20250907-131536.json,0,6000,300,True,240,5.61069e-05,0.000585678,0.445
result\cstar\20250908-120804.json,0,6000,300,False,250,-0.000329145,0.000590015,0.59
result\cstar\20250908-121738.json,0,6000,300,False,250,-0.000329145,0.000590015,0.59
result\cstar\20250908-121747.json,0,6000,320,True,240,0.000598381,0.00072178,0.295
result\cstar\20250908-121756.json,0,6000,240,True,180,-0.000459425,0.00051868,0.565
result\cstar\20250908-121824.json,1,6000,320,True,240,-0.00148497,-0.000799397,0.905
result\cstar\20250908-121825.json,5,6000,320,True,240,0.000755587,0.000192914,0.18
result\cstar\20250908-130014.json,3,8000,400,False,250,0.000210805,-0.000195611,0.265
result\cstar\20250908-130015.json,7,8000,400,False,250,0.000924063,0.000156523,0.045
result\cstar\20250908-130016.json,9,8000,400,False,250,-7.55533e-05,-0.000529325,0.46
result\cstar\20250908-130040.json,0,8000,400,True,240,0.000290378,0.000527862,0.36
